Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address
74759.875892,2.20008604,4.92520523,3.12,56823.5607,1016220.213,"1425 Washington St Suite 132, New York, NY"
36558.66679,3.86128715,7.2141311,3.9,55800.9806,845765.277,"8929 Washington St Suite 325, Atlanta, GA"
71248.597871,8.47544365,3.04549132,2.0,54906.9697,1250933.208,"5515 Maple St Suite 194, Boston, MA"
36770.146378,8.77995493,7.22608222,3.53,56486.5893,1171049.621,"8786 Maple St Suite 487, Dallas, TX"
68642.844189,8.63523731,7.32963827,3.51,48867.6073,1383024.967,"3734 Lake St Suite 181, Seattle, WA"
90653.856673,5.0410098,6.17387212,2.99,28132.7049,1269952.758,"5821 Cedar St Suite 786, Phoenix, AZ"
79127.421942,7.46838132,3.49981757,2.0,46706.9939,1267641.453,"4423 Cedar St Suite 801, Denver, CO"
88999.634413,8.20799929,4.6033365,3.23,35772.6524,1414958.83,"4387 Maple St Suite 316, Denver, CO"
44883.858084,5.99385008,9.19278208,4.8,27143.5795,1091584.642,"8831 Lake St Suite 864, Boston, MA"
92847.601852,5.19520404,4.53524531,2.06,45476.3147,1337886.179,"1490 Oak St Suite 981, Dallas, TX"
40698.892354,3.27985601,7.76336849,4.14,39238.3656,848703.755,"4120 Oak St Suite 796, Dallas, TX"
77719.725832,6.29576264,4.86777633,2.54,25577.6087,1163439.439,"7124 Pine St Suite 564, New York, NY"
96767.114926,9.00682352,4.84372336,2.69,28932.594,1529868.534,"4890 Cedar St Suite 256, Denver, CO"
83375.756005,6.31503224,8.45038535,4.63,20028.5948,1302884.156,"5311 Lincoln St Suite 119, Dallas, TX"
95036.903139,9.02977502,8.82165871,5.36,22896.2583,1632116.571,"1404 Lincoln St Suite 935, Dallas, TX"
98458.914557,6.26164936,3.88032358,2.01,67342.434,1387438.311,"2706 Lake St Suite 640, Boston, MA"
97505.403421,9.43130794,8.28685638,4.25,55647.4486,1671513.233,"6119 Lincoln St Suite 629, Atlanta, GA"
38470.293711,3.7975787,5.36659894,2.87,31505.7366,804681.01,"3609 Oak St Suite 172, New York, NY"
46025.924867,9.2433601,9.0174478,6.19,31900.2317,1214717.13,"2168 Lincoln St Suite 348, Atlanta, GA"
86524.789844,3.52327931,3.6785157,2.11,41178.9312,1099766.923,"7652 Oak St Suite 789, Dallas, TX"
34242.887185,7.82570871,8.60414758,5.78,29579.5036,1024225.052,"3007 Lake St Suite 573, Seattle, WA"
91214.016785,2.60307911,8.65615571,4.15,24895.4364,1235551.104,"8857 Oak St Suite 195, Seattle, WA"
